effective_electron_temperature_eV,rescigno_x1_m3_s,hamilton_x1_m3_s,rescigno_x2_m3_s,hamilton_x2_m3_s,rescigno_x0p5_m3_s,hamilton_x0p5_m3_s
2.4712312312312301,2.8717103241357498e-15,3.0562729561767502e-15,2.1287117682288498e-15,2.6816248779326897e-15,3.5187256252857198e-15,3.1350483862523201e-15
2.4912412412412399,2.9272860689602496e-15,3.1043916915615001e-15,2.1862616277190598e-15,2.73658978635801e-15,3.5660732561200099e-15,3.1700036997248603e-15
2.5112512512512501,2.9831202414298299e-15,3.1525484980805604e-15,2.24435096641466e-15,2.7918052090759701e-15,3.6134413434371904e-15,3.20487091603168e-15
2.5312612612612599,3.0392052816198099e-15,3.2007370151355202e-15,2.3029658079578699e-15,2.8472609205922297e-15,3.6608262719540904e-15,3.2396483143736799e-15
2.5512712712712702,3.0955337449991198e-15,3.2489510172831298e-15,2.3620923010739001e-15,2.9029468385623903e-15,3.7082245103051899e-15,3.2743342410869199e-15
2.57128128128128,3.1520983015816204e-15,3.2971844125587098e-15,2.4217167329456899e-15,2.9588530244405002e-15,3.7556326092998995e-15,3.3089271076953599e-15
2.5912912912912902,3.20889173501e-15,3.3454312407791301e-15,2.4818255414018701e-15,3.0149696838907198e-15,3.8030472002124701e-15,3.3434253890178903e-15
2.6113013013013,3.2659069415790499e-15,3.3936856718284704e-15,2.5424053259574995e-15,3.0712871669813298e-15,3.8504649931042802e-15,3.3778276213279897e-15
2.6313113113113098,3.32313692920461e-15,3.4419420039291498e-15,2.6034428577500001e-15,3.12779596817904e-15,3.8978827751779099e-15,3.41213240056483e-15
2.65132132132132,3.3805748163442201e-15,3.4901946619013602e-15,2.66492508841457e-15,3.1844867261607698e-15,3.9452974091630999e-15,3.4463383805943398e-15
2.6713313313313298,3.4382138308748101e-15,3.5384381954132001e-15,2.7268391579453499e-15,3.2413502234592403e-15,3.9927058317337704e-15,3.4804442715189101e-15
2.6913413413413401,3.4960473089326299e-15,3.5866672772239102e-15,2.7891724015892399e-15,3.2983773859575902e-15,4.0401050519561007e-15,3.5144488380345002e-15
2.7113513513513499,3.5540686937201702e-15,3.6348767014224403e-15,2.8519123558205603e-15,3.3555592822475501e-15,4.0874921497670203e-15,3.5483508978337501e-15
2.7313613613613601,3.6122715342844104e-15,3.6830613816632597e-15,2.9150467634448302e-15,3.4128871228646701e-15,4.1348642744828996e-15,3.5821493200539598e-15
2.7513713713713699,3.6706494842704803e-15,3.7312163494013703e-15,2.9785635778800197e-15,3.4703522594132398e-15,4.18221864333775e-15,3.6158430237686105e-15
